,st_id,pr_sku_id,st_id_encoded,pr_sku_id_encoded,st_sku_interaction,pr_cluster_label,st_cluster_label,pr_uom_id
0,42a0e188f5033bc65bf8d78622277c4e,5781a2637b476d781eb3134581b32044,3,626,2003,8,0,1
1,1ecfb463472ec9115b10c292ef8bc986,e45c2e3a0145b9c87e26cb57ef7a4d8b,2,1760,1059,4,1,1
2,f7e6c85504ce6e82442c770f7c8606f0,3c54bb7bf3061916d12d5027dda7e863,8,418,4996,6,0,1
3,c81e728d9d4c2f636f067f89cc14862c,41f5b25a0e207db981d36fc91e80a8e7,7,464,4037,4,0,17
4,16a5cdae362b8d27a1d8f8c7b78b4330,5adfc37e8b1a7ab1549daeb6f4918426,1,654,755,2,0,1
5,16a5cdae362b8d27a1d8f8c7b78b4330,1b0251ccb8bd5f9ccf444e4bda7713e3,1,184,445,0,0,1
6,c81e728d9d4c2f636f067f89cc14862c,adf3f8d0e45cd2e4cfb284e1eaddc5c8,7,1332,3493,0,0,1
7,c81e728d9d4c2f636f067f89cc14862c,d22bb534b7964c0cafab6aab1995f000,7,1634,3669,0,0,1
8,16a5cdae362b8d27a1d8f8c7b78b4330,6e822618c30449cfabec9b22a7de1425,1,823,858,4,0,1
9,1ecfb463472ec9115b10c292ef8bc986,011fa371d88bc0c9c45f7a03db82d5b7,2,10,958,4,1,1
10,c81e728d9d4c2f636f067f89cc14862c,1edb148e94ceddc5abaa91ad4814a737,7,211,3888,4,0,17
11,42a0e188f5033bc65bf8d78622277c4e,25297b758a38dfb3475046e5dc01291a,3,256,1782,6,0,1
12,42a0e188f5033bc65bf8d78622277c4e,c2aedf6a012d8057ec5585a511a6da35,3,1500,1463,0,0,1
13,c81e728d9d4c2f636f067f89cc14862c,67797f1f0f02ec5ccd5e3abd2d4e5b81,7,773,4230,4,0,1
14,f7e6c85504ce6e82442c770f7c8606f0,5fb6bfa7b7d9a415d5f95d3951e2a35d,8,705,5160,1,0,1
15,42a0e188f5033bc65bf8d78622277c4e,ac97437364b6701a12e48e3d4559d251,3,1312,1360,0,0,17
16,c81e728d9d4c2f636f067f89cc14862c,225de5ef23fbfa96f02a8e1e8626ab66,7,238,3901,8,0,1
17,f7e6c85504ce6e82442c770f7c8606f0,e95b9bb287e5571345c0e94f3118d667,8,1799,4785,9,0,17
18,16a5cdae362b8d27a1d8f8c7b78b4330,5e513d8830b4e93051b81843e48098c5,1,688,774,0,0,1
19,fa7cdfad1a5aaf8370ebeda47a1ff1c3,699dc7822b719137e8124b728ab45fa3,9,788,6029,0,0,1
20,42a0e188f5033bc65bf8d78622277c4e,3fabc5abf35c42206944ccc889328f3e,3,445,1903,6,0,1
21,f7e6c85504ce6e82442c770f7c8606f0,4ba72d594b35e41cb3e066397eecdfba,8,547,5072,4,0,1
22,fa7cdfad1a5aaf8370ebeda47a1ff1c3,3e5ed1845a499f1b16f1bc68d13e97fe,9,433,5855,0,0,1
23,f7e6c85504ce6e82442c770f7c8606f0,5aa2f6e00873f8c90b00cd15d670daa1,8,649,5126,4,0,17
24,c81e728d9d4c2f636f067f89cc14862c,f3848b78b70702300c576fcd56a9addd,7,1890,3831,0,0,1
25,c81e728d9d4c2f636f067f89cc14862c,a6b9d339b86d7e8e1f665b06c3310261,7,1260,3454,4,0,17
26,f7e6c85504ce6e82442c770f7c8606f0,8c5c2ef314a18fc5fecbaf99db704564,8,1049,4402,4,0,17
27,16a5cdae362b8d27a1d8f8c7b78b4330,9f01d1bae48b8dd9a155c83316a4943e,1,1193,100,0,0,1
28,1ecfb463472ec9115b10c292ef8bc986,c01fa360a5e6eec712b6a43b7eff1722,2,1475,1020,4,1,1
29,6364d3f0f495b6ab9dcf8d3b5c6e0b01,9c231867e537759d3ef811c0bd9c705c,5,1172,2412,1,0,1
30,6364d3f0f495b6ab9dcf8d3b5c6e0b01,ce429dec957b9d6f3658eaa343fc40f0,5,1598,2621,0,0,17
31,6364d3f0f495b6ab9dcf8d3b5c6e0b01,c7b711619071c92bef604c7ad68380dd,5,1543,2589,4,0,1
32,fa7cdfad1a5aaf8370ebeda47a1ff1c3,877996cf018bb84247377fc00ac9ec5d,9,997,6128,0,0,1
33,1ecfb463472ec9115b10c292ef8bc986,9bc40cd2fe4f188f402bb41548c5e15c,2,1167,983,4,1,17
34,f7e6c85504ce6e82442c770f7c8606f0,71fe24c214f9fe26ad0f2b02f03e3878,8,856,5241,4,0,1
35,f7e6c85504ce6e82442c770f7c8606f0,e9b63be88a5ebe0f22d5eac34c5d6e5a,8,1803,4789,0,0,1
36,6364d3f0f495b6ab9dcf8d3b5c6e0b01,1a0f36f6e92560bcae205b6c32cc033f,5,175,2702,0,0,1
37,16a5cdae362b8d27a1d8f8c7b78b4330,6629d8e0d18c0b83c15006570566598f,1,764,820,4,0,17
38,fa7cdfad1a5aaf8370ebeda47a1ff1c3,4a15a652bde1a9a3ac9cb96160ff3a98,9,533,5903,1,0,1
39,6364d3f0f495b6ab9dcf8d3b5c6e0b01,9b57d53d69670d9e6f189ac379d0a234,5,1162,2410,2,0,17
40,fa7cdfad1a5aaf8370ebeda47a1ff1c3,58ebafabd92e2e3a80d86b7bb7e88eda,9,638,5949,4,0,1
41,fa7cdfad1a5aaf8370ebeda47a1ff1c3,acffb38162b43eaf0c33121934bc6138,9,1318,5446,6,0,17
42,16a5cdae362b8d27a1d8f8c7b78b4330,d422a9e072907827d1571933f897d9d2,1,1645,333,4,0,1
43,fa7cdfad1a5aaf8370ebeda47a1ff1c3,6565d9fdec62ee17555c69675585c673,9,757,6011,4,0,1
44,c81e728d9d4c2f636f067f89cc14862c,525054066e1d6e94a6ad56078f4b212d,7,593,4116,4,0,17
45,fa7cdfad1a5aaf8370ebeda47a1ff1c3,d6c2e7c74cad027b49b4369a0548ddfb,9,1664,5606,2,0,1
46,c81e728d9d4c2f636f067f89cc14862c,592ce64f80d8d1051d8ade3b002309e0,7,639,4141,0,0,1
47,f7e6c85504ce6e82442c770f7c8606f0,5f3f3cdc16a1ad23f24383979e45ced0,8,696,5155,4,0,1
48,16a5cdae362b8d27a1d8f8c7b78b4330,71c9661741caf40a92a32d1cc8206c04,1,854,874,9,0,17
49,42a0e188f5033bc65bf8d78622277c4e,c7b711619071c92bef604c7ad68380dd,3,1543,1491,4,0,1
50,fa7cdfad1a5aaf8370ebeda47a1ff1c3,4242d41d714121a04ed4a344851eb5c4,9,470,5870,8,0,1
51,c81e728d9d4c2f636f067f89cc14862c,fd519eb13005448a303df1089505a42b,7,1956,3868,6,0,1
52,f7e6c85504ce6e82442c770f7c8606f0,f5a455e5fea834c85429331d934c40fa,8,1901,4843,0,0,1
53,6364d3f0f495b6ab9dcf8d3b5c6e0b01,86834931b537407cac2c8912f771511c,5,991,3218,6,0,17
54,6364d3f0f495b6ab9dcf8d3b5c6e0b01,4678e046e53270a420f8e4df6797ca24,5,502,2967,4,0,17
55,6364d3f0f495b6ab9dcf8d3b5c6e0b01,26d07ae4d7900394b2efaae387b01072,5,266,2835,2,0,1
56,16a5cdae362b8d27a1d8f8c7b78b4330,9f2ee48f84d8538e00c6782d3efa5a7b,1,1196,102,0,0,17
57,c81e728d9d4c2f636f067f89cc14862c,c4ba4ae1a518779efc096ea258259c22,7,1513,3601,4,0,17
58,6364d3f0f495b6ab9dcf8d3b5c6e0b01,b24814fb0bf1da2187583a825d6e86ed,5,1363,2508,0,0,1
59,c81e728d9d4c2f636f067f89cc14862c,b77bf3cb7967619f5b3d226d63dae631,7,1406,3545,2,0,1
60,6364d3f0f495b6ab9dcf8d3b5c6e0b01,9d4d76311ae2c0cbc4b1eb53c447bed7,5,1178,2417,9,0,17
61,c81e728d9d4c2f636f067f89cc14862c,79133af0afb33701bf07602f585760f6,7,898,4315,4,0,17
62,16a5cdae362b8d27a1d8f8c7b78b4330,177b588f64308de26aff1c43644f6e84,1,155,281,4,0,17
63,16a5cdae362b8d27a1d8f8c7b78b4330,4a421463135a0f5e506740db32d16b97,1,535,694,6,0,1
64,c81e728d9d4c2f636f067f89cc14862c,8146f98d564daf7f6cc87d9edcb92705,7,954,4351,0,0,1
65,f7e6c85504ce6e82442c770f7c8606f0,d185c5ed37536ac0063f735f7a15dd24,8,1630,4695,1,0,1
66,1ecfb463472ec9115b10c292ef8bc986,5e3a80d6175a0e619ad882fef72412d9,2,687,1159,6,1,17
67,c81e728d9d4c2f636f067f89cc14862c,8530dce8d574ee1df18069b182506882,7,983,4369,6,0,17
68,16a5cdae362b8d27a1d8f8c7b78b4330,dce1f234d6424aa61f8e7ce0baffd9af,1,1708,367,4,0,1
69,f7e6c85504ce6e82442c770f7c8606f0,f7797c89f0833cc91f84cd1740a4cbe5,8,1913,4849,4,0,1
70,c81e728d9d4c2f636f067f89cc14862c,568221292bd68ebdd821521ce60a8110,7,620,4130,6,0,1
71,42a0e188f5033bc65bf8d78622277c4e,5fcac87918c626bc3d53feeabec5a71c,3,706,2054,2,0,1
